Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
-94.05,-79.15,-82.65,
-92.25,-79.1,-82.9,
-97.9,-86.05,-81.45,
-99.55,-83.6,-77.95,
-95.4,-91.8,-80.45,
-94.0,-90.8,-71.55,
-77.9,-92.2,-73.3,
-82.7,-80.1,-85.8,
-91.2,-69.9,-88.8,
-96.95,-73.0,-85.85,
-86.05,-80.95,-78.4,
-88.75,-83.55,-72.85,
-94.4,-81.05,-73.05,
-100.45,-81.7,-80.15,
-95.35,-80.4,-89.95,
-95.2,-90.6,-83.25,
-95.0,-89.7,-90.15,
-94.15,-83.05,-86.2,
-95.75,-82.5,-86.25,
-96.3,-83.6,-94.2,
-99.15,-82.35,-86.75,
-92.1,-87.1,-81.85,
-91.45,-94.7,-79.65,
-80.05,-97.3,-72.7,
-77.1,-83.8,-82.35,
-79.25,-78.15,-96.25,
-92.55,-72.75,-94.35,
-101.0,-68.65,-94.3,
-99.8,-76.75,-94.15,
-95.6,-81.35,-91.6,
-96.05,-83.4,-87.7,
-93.65,-79.75,-89.3,
-99.0,-70.15,-93.85,
-99.0,-73.3,-94.0,
-99.0,-72.15,-94.0,
-99.0,-69.95,-94.0,
-99.0,-69.8,-94.0,
-99.0,-67.6,-99.85,
-99.0,-67.35,-103.0,
-99.0,-66.5,-103.0,
-95.1,-69.6,-102.55,
-93.0,-69.5,-99.0,
-93.0,-71.9,-97.9,
-95.55,-74.15,-93.45,
-96.0,-71.3,-93.0,
-96.0,-68.4,-93.35,
-96.0,-75.7,-101.55,
-96.0,-69.25,-99.15,
-101.1,-68.1,-102.0,
-102.0,-68.4,-102.0,
-102.65,-70.7,-102.0,
-102.75,-69.1,-101.5,
-96.8,-69.95,-100.0,
-102.0,-73.05,-100.0,
-102.0,-71.35,-100.0,
-102.0,-68.7,-100.0,
-102.0,-69.55,-100.0,
-102.0,-65.8,-100.0,
-102.0,-63.5,-99.1,
-101.75,-73.45,-97.65,
-100.7,-73.25,-85.9,
-96.9,-70.9,-88.75,
-97.9,-74.2,-102.2,
-99.1,-71.95,-103.85,
-99.65,-73.55,-105.0,
-99.4,-72.55,-105.0,
-98.0,-67.8,-105.0,
-98.0,-69.05,-105.0,
-99.35,-70.95,-105.0,
-101.0,-72.9,-104.7,
-101.0,-74.05,-99.0,
-97.6,-68.1,-99.0,
-97.0,-71.15,-99.0,
-97.0,-69.1,-99.0,
-97.0,-71.4,-99.0,
-97.0,-72.5,-99.0,
-97.0,-69.7,-99.0,
-97.0,-66.55,-99.0,
-97.0,-65.7,-99.0,
-97.0,-69.0,-99.0,
-97.0,-68.4,-99.0,
-97.0,-73.75,-99.0,
-97.0,-70.9,-99.0,
-97.0,-69.3,-99.0,
-97.0,-72.1,-99.0,
-97.0,-69.25,-99.0,
-97.0,-66.8,-99.0,
-97.0,-70.95,-99.0,
-97.0,-70.2,-99.0,
-97.0,-67.6,-99.0,
-97.0,-67.9,-99.0,
-97.0,-67.35,-99.65,
-97.0,-68.45,-100.0,
-97.0,-73.05,-100.0,
-99.1,-70.3,-97.4,
-100.25,-72.9,-96.0,
-104.0,-72.25,-94.8,
-104.0,-72.65,-95.65,
-104.0,-71.25,-97.0,
-104.0,-75.55,-97.0,
-103.6,-73.55,-97.15,
-94.5,-73.0,-93.4,
-97.15,-73.0,-98.2,
-101.0,-71.75,-101.7,
-101.0,-71.2,-101.9,
-101.0,-71.65,-104.0,
-101.0,-72.0,-104.0,
-101.0,-71.35,-104.0,
-101.0,-70.8,-103.95,
-101.0,-69.35,-102.3,
-101.15,-64.45,-97.25,
-104.0,-67.4,-99.4,
-98.8,-68.0,-99.0,
-96.0,-70.15,-94.0,
-96.0,-73.3,-101.15,
-96.0,-73.3,-105.0,
-96.0,-73.65,-105.0,
-96.0,-73.55,-105.0,
-96.0,-76.65,-105.0,
-96.0,-68.2,-105.0,
-96.0,-68.05,-105.0,
-96.0,-73.45,-105.0,
-96.0,-76.05,-105.0,
-96.0,-74.35,-105.0,
-96.0,-74.9,-105.0,
-96.0,-71.7,-105.0,
-96.0,-68.15,-105.0,
-96.0,-67.9,-105.0,
-96.0,-68.75,-105.0,
-96.0,-67.25,-105.0,
-96.0,-66.4,-105.0,
-96.0,-67.25,-105.0,
-96.0,-69.35,-105.0,
-96.0,-67.7,-105.0,
-96.0,-70.4,-105.0,
-96.0,-68.1,-105.0,
-96.0,-69.2,-105.0,
-96.0,-69.4,-105.0,
-96.0,-71.5,-105.0,
-96.0,-66.1,-105.0,
-96.0,-64.8,-105.0,
-96.0,-68.8,-105.0,
-96.0,-67.5,-105.0,
-96.0,-70.5,-105.0,
-96.0,-65.2,-105.0,
-96.0,-65.8,-105.0,
-96.0,-67.4,-105.0,
-96.0,-68.2,-105.0,
-96.0,-71.1,-105.0,
-96.0,-74.5,-102.2,
-96.0,-75.0,-101.0,
-96.0,-71.6,-101.0,
-96.0,-70.3,-101.0,
-96.0,-69.8,-101.0,
-96.0,-72.2,-101.0,
-96.0,-70.8,-101.0,
-96.1,-84.3,-101.0,
-95.0,-71.1,-101.8,
-95.0,-72.3,-101.0,
-95.0,-70.5,-100.6,
-95.0,-70.1,-97.0,
-95.0,-70.2,-95.0,
-95.0,-70.4,-93.7,
-95.0,-69.6,-99.7,
-97.7,-70.1,-95.3,
-104.0,-71.0,-98.6,
-104.0,-63.3,-99.8,
-104.0,-70.5,-100.7,
-103.7,-75.7,-101.0,
-102.1,-72.8,-101.9,
-102.0,-76.3,-100.5,
-102.0,-76.2,-99.0,
-102.0,-75.9,-99.0,
-102.0,-67.9,-99.0,
-102.0,-67.2,-101.5,
-100.6,-73.5,-102.2,
-100.0,-76.8,-102.0,
-100.0,-74.7,-102.0,
-100.0,-74.0,-102.0,
-100.0,-73.9,-102.0,
-100.0,-67.1,-100.5,
-100.0,-68.5,-97.0,
-100.0,-73.6,-98.9,
-100.0,-72.4,-102.0,
-100.0,-72.0,-102.0,
-100.0,-72.7,-102.0,
-100.0,-71.2,-102.0,
-100.0,-70.4,-102.0,
-100.0,-67.6,-102.0,
-100.0,-74.3,-102.0,
-100.0,-73.6,-102.0,
-100.0,-76.9,-102.0,
-100.0,-74.4,-102.0,
-100.0,-70.3,-102.0,
-100.2,-69.9,-102.0,
-102.0,-72.5,-95.7,
-103.8,-77.5,-95.0,
-104.0,-71.7,-95.0,
-104.0,-71.7,-95.0,
-104.0,-68.5,-95.0,
-104.0,-69.2,-95.0,
-104.0,-62.7,-95.0,
-104.0,-65.4,-95.0,
-104.0,-65.2,-95.0,
-104.0,-67.8,-95.0,
-104.0,-68.6,-95.0,
-104.0,-68.5,-98.6,
-103.1,-70.7,-99.0,
-101.0,-72.5,-99.0,
-101.0,-70.3,-100.5,
-101.0,-70.9,-104.0,
-101.0,-73.6,-104.0,
-101.0,-73.2,-104.0,
-101.0,-72.8,-104.0,
-101.0,-73.5,-104.0,
-101.0,-79.4,-104.0,
-101.0,-77.4,-104.0,
-101.0,-76.2,-104.0,
-101.0,-71.0,-99.0,
-101.0,-70.0,-99.0,
-101.0,-71.0,-100.6,
-101.0,-70.0,-97.8,
-101.0,-67.8,-100.0,
-101.0,-71.6,-100.0,
-101.0,-71.6,-100.0,
-101.0,-70.8,-100.0,
-101.0,-71.6,-92.0,
-101.0,-74.4,-95.6,
-101.0,-73.8,-95.6,
-93.8,-71.8,-94.2,
-97.8,-73.2,-95.6,
-99.0,-75.4,-94.0,
-99.8,-70.4,-93.0,
-101.0,-78.6,-93.0,
-101.0,-72.0,-94.2,
-101.0,-63.6,-96.0,
-101.0,-63.2,-96.0,
-101.0,-67.4,-96.0,
-101.0,-66.4,-96.0,
-101.0,-67.6,-96.0,
-101.0,-74.8,-96.0,
-101.0,-78.8,-96.0,
-101.0,-65.6,-96.0,
-101.0,-68.4,-96.0,
-101.0,-70.8,-96.0,
-101.0,-65.2,-96.0,
-101.0,-68.4,-96.0,
-101.0,-70.4,-96.0,
-101.0,-72.4,-96.0,
-101.0,-71.8,-96.0,
-101.0,-71.2,-96.0,
-101.0,-70.6,-96.0,
-101.6,-71.8,-96.0,
-104.0,-70.8,-96.0,
-104.0,-67.8,-96.0,
-104.0,-73.6,-96.0,
-104.0,-71.2,-96.0,
-104.0,-67.8,-96.0,
-104.0,-68.4,-96.0,
-104.0,-65.0,-96.0,
-104.0,-66.6,-96.0,
-104.0,-65.4,-96.0,
-104.0,-66.6,-96.0,
-104.0,-67.8,-96.0,
-104.0,-66.8,-96.0,
-104.0,-74.4,-96.0,
-104.0,-71.4,-96.0,
-104.0,-71.6,-96.0,
-104.0,-68.4,-96.0,
-104.0,-71.2,-96.0,
-104.0,-65.8,-96.8,
-104.0,-72.0,-100.0,
-104.0,-78.6,-100.0,
-104.0,-77.6,-100.0,
-104.0,-75.0,-100.0,
-104.0,-81.6,-100.0,
-104.0,-74.4,-100.0,
-91.4,-76.8,-100.0,
-94.2,-73.0,-92.4,
-99.2,-70.8,-97.8,
-102.0,-74.0,-101.0,
-103.2,-70.6,-101.8,
-104.0,-69.0,-94.4,
-104.0,-68.2,-96.0,
-104.0,-68.0,-96.0,
-104.0,-68.6,-96.0,
-104.0,-70.6,-100.8,
-103.2,-71.4,-101.2,
-98.4,-74.8,-96.2,
-92.8,-72.6,-98.6,
