Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
-84.65,-79.0,-92.85,
-84.6,-79.0,-93.4,
-85.3,-79.0,-95.05,
-83.15,-85.6,-87.65,
-92.4,-88.65,-92.05,
-94.05,-87.35,-94.8,
-100.75,-89.0,-95.25,
-101.1,-90.85,-97.8,
-94.15,-85.4,-94.65,
-95.6,-87.4,-91.2,
-96.5,-84.3,-76.8,
-90.7,-88.3,-81.3,
-90.0,-92.5,-80.7,
-91.8,-87.1,-80.1,
-95.7,-86.8,-84.7,
-89.1,-84.6,-85.3,
-89.7,-84.0,-85.3,
-95.6,-83.7,-79.7,
-94.7,-87.1,-88.3,
-88.7,-86.7,-93.2,
-87.6,-87.7,-91.3,
-85.4,-87.8,-89.4,
-85.4,-87.5,-88.5,
-85.0,-88.1,-88.6,
-87.2,-85.8,-90.6,
-96.4,-86.7,-89.7,
-94.2,-86.3,-89.6,
-94.6,-89.5,-92.1,
-95.2,-86.6,-90.3,
-93.8,-81.6,-86.7,
-100.0,-90.3,-83.0,
-94.0,-83.2,-86.2,
-85.4,-82.3,-84.1,
-83.8,-83.8,-87.7,
-82.5,-83.2,-85.9,
-81.8,-84.1,-87.9,
-84.1,-91.1,-85.1,
-88.7,-84.3,-84.6,
-87.1,-84.4,-83.0,
-90.5,-86.8,-85.9,
-88.5,-85.9,-89.5,
-90.9,-84.3,-85.7,
-89.9,-93.7,-85.4,
-89.4,-91.1,-79.7,
-83.1,-82.3,-81.7,
-93.3,-77.8,-80.8,
-82.9,-71.1,-92.4,
-78.5,-80.3,-86.4,
-76.8,-81.3,-84.6,
-81.0,-75.4,-87.3,
-88.9,-69.8,-89.5,
-92.9,-73.0,-88.9,
-100.2,-69.6,-89.9,
-94.4,-76.5,-91.3,
-100.0,-79.4,-89.3,
-97.4,-79.6,-92.4,
-97.0,-74.5,-98.0,
-97.0,-68.8,-100.0,
-97.0,-71.2,-100.0,
-97.0,-71.6,-100.0,
-97.0,-73.0,-100.0,
-97.0,-72.8,-100.0,
-97.0,-72.4,-100.0,
-97.0,-75.9,-100.0,
-97.0,-65.8,-100.0,
-97.0,-70.1,-100.8,
-97.0,-73.1,-90.5,
-97.0,-71.8,-95.0,
-97.0,-76.5,-96.0,
-97.0,-76.2,-97.0,
-101.2,-73.4,-97.0,
-103.0,-70.0,-97.0,
-103.0,-73.8,-97.0,
-103.0,-75.7,-97.0,
-103.0,-69.6,-97.2,
-103.0,-69.2,-93.7,
-103.0,-73.4,-99.4,
-103.0,-76.5,-98.0,
