Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
-82.0,-79.0,-81.6,
-82.0,-78.4,-82.6,
-82.0,-78.6,-82.4,
-83.0,-78.2,-81.6,
-87.4,-83.4,-83.0,
-98.2,-82.2,-83.6,
-100.2,-79.4,-85.6,
-104.0,-87.4,-86.2,
-95.6,-89.8,-84.0,
-92.6,-88.0,-85.0,
-96.2,-85.0,-88.6,
-99.4,-83.8,-83.6,
-99.8,-84.4,-84.6,
-99.8,-84.0,-83.4,
-98.0,-85.6,-84.4,
-92.0,-87.6,-84.0,
-90.8,-82.2,-82.4,
-95.8,-85.6,-92.4,
-93.8,-92.2,-80.6,
-92.6,-83.8,-82.0,
-93.4,-84.4,-89.2,
-95.95,-88.15,-86.9,
-87.1,-90.25,-81.6,
-87.05,-85.65,-90.55,
-93.55,-77.05,-82.7,
-95.9,-85.8,-85.6,
-89.7,-82.1,-83.7,
-86.5,-85.3,-84.1,
-73.5,-83.6,-75.4,
-78.8,-76.0,-83.6,
-94.7,-69.7,-93.6,
-103.7,-71.1,-96.3,
-100.2,-75.3,-92.6,
-93.2,-73.1,-88.7,
-98.4,-72.1,-92.6,
-93.6,-70.8,-88.7,
-94.1,-72.5,-88.6,
-91.7,-73.6,-87.8,
-91.0,-69.6,-93.0,
-91.0,-69.7,-93.0,
-91.0,-70.9,-93.0,
-91.0,-71.4,-93.0,
-91.0,-69.5,-93.0,
-91.0,-72.6,-93.0,
-91.0,-73.9,-93.0,
-91.0,-73.6,-93.0,
-91.0,-68.8,-93.0,
-91.0,-65.2,-95.4,
-93.7,-67.3,-100.3,
-98.7,-67.1,-98.0,
-95.0,-67.3,-100.0,
-95.0,-73.3,-98.3,
-95.0,-73.8,-97.0,
-95.0,-73.2,-97.0,
-99.2,-69.3,-98.0,
-101.0,-68.8,-95.5,
-101.0,-72.5,-95.3,
-99.2,-77.0,-95.0,
-95.0,-71.5,-95.0,
-95.0,-68.0,-100.5,
-95.0,-73.5,-98.0,
-95.0,-69.4,-98.0,
-95.0,-69.8,-98.0,
-95.0,-71.6,-98.0,
-95.0,-69.8,-98.0,
-95.0,-63.1,-98.0,
-99.5,-66.3,-96.0,
-104.0,-65.7,-93.2,
-104.0,-69.1,-98.0,
-104.0,-69.2,-98.0,
-104.0,-72.3,-98.0,
-104.0,-71.0,-98.0,
