Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
-84,,-98,-71
-84,,-98,-71
-98,,-97,-70
-98,,-97,-70
-98,,-97,-70
-98,,-97,-70
-83,,-97,-71
-83,,-97,-71
-83,,-97,-71
-83,,-97,-71
-83,,-95,-72
-83,,-95,-72
-83,,-95,-72
-83,,-95,-72
-95,,-95,-72
-95,,-95,-72
-95,,-95,-72
-95,,-95,-72
-97,,-95,-72
-97,,-95,-72
-97,,-95,-72
-97,,-95,-72
-98,,-95,-72
-98,,-95,-72
-98,,-95,-72
-98,,-95,-72
-84,,-95,-72
-84,,-95,-72
-84,,-95,-72
-84,,-95,-72
-84,,-98,-71
-84,,-98,-71
-84,,-98,-71
-84,,-98,-71
-97,,-98,-71
-97,,-98,-71
-97,,-98,-71
-97,,-98,-71
-84,,-98,-70
-84,,-98,-70
-84,,-98,-70
-84,,-98,-70
-97,,-96,-69
-97,,-96,-69
-97,,-96,-69
-97,,-96,-69
-96,,-94,-70
-96,,-94,-70
-96,,-94,-70
-96,,-94,-70
-101,,-103,-82
-101,,-103,-82
-101,,-103,-82
-101,,-103,-82
-83,,-97,-70
-83,,-97,-70
-83,,-97,-70
-83,,-97,-70
-82,,-103,-70
-82,,-103,-70
-82,,-103,-70
-82,,-103,-70
-82,,-98,-70
-82,,-98,-70
-82,,-98,-70
-82,,-98,-70
-83,,-98,-70
-83,,-98,-70
-83,,-98,-70
-83,,-98,-70
-83,,-98,-70
-83,,-98,-70
-83,,-98,-70
-83,,-98,-70
-100,,-98,-70
-100,,-98,-70
-100,,-98,-70
-100,,-98,-70
-82,,-95,-70
-82,,-95,-70
-82,,-95,-70
-82,,-95,-70
-89,,-94,-68
-89,,-94,-68
-89,,-94,-68
-89,,-94,-68
-84,,,-68
-84,,,-68
-84,,,-68
-84,,,-68
-86,,-95,-68
-86,,-95,-68
-86,,-95,-68
-86,,-95,-68
-93,,-92,-70
-93,,-92,-70
-93,,-92,-70
-93,,-92,-70
,,-99,-70
,,-99,-70
,,-99,-70
,,-99,-70
-102,,-98,-71
-102,,-98,-71
-102,,-98,-71
-102,,-98,-71
