Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
-82,,-92,-79
-82,,-92,-79
-82,,-92,-80
-82,,-92,-80
-82,,-92,-80
-82,,-92,-80
-83,,-93,-78
-83,,-93,-78
-83,,-93,-78
-83,,-93,-78
-84,,-93,
-84,,-93,
-84,,-93,
-84,,-93,
-84,,-96,-102
-84,,-96,-102
-84,,-96,-102
-84,,-96,-102
-90,,-99,-81
-90,,-99,-81
-90,,-99,-81
-90,,-99,-81
-93,,-98,-77
-93,,-98,-77
-93,,-98,-77
-93,,-98,-77
-90,,-95,-76
-90,,-95,-76
-90,,-95,-76
-90,,-95,-76
-91,,-96,-76
-91,,-96,-76
-91,,-96,-76
-91,,-96,-76
-91,,-97,-75
-91,,-97,-75
-91,,-97,-75
-91,,-97,-75
-91,,-96,-75
-91,,-96,-75
-91,,-96,-75
-91,,-96,-75
-91,,-96,-76
-91,,-96,-76
-91,,-96,-76
-91,,-96,-76
-92,,-95,-75
-92,,-95,-75
-92,,-95,-75
-92,,-95,-75
-92,,-95,-75
-92,,-95,-75
-92,,-95,-75
-92,,-95,-75
-91,,-96,-76
-91,,-96,-76
-91,,-96,-76
-91,,-96,-76
-92,,-96,-75
-92,,-96,-75
-92,,-96,-75
-92,,-96,-75
-86,,-97,-77
-86,,-97,-77
-86,,-97,-77
-86,,-97,-77
-80,,-95,-79
-80,,-95,-79
-80,,-95,-79
-80,,-95,-79
-80,,-91,-79
-80,,-91,-79
-80,,-91,-79
-80,,-91,-79
-82,,-96,-76
-82,,-96,-76
-82,,-96,-76
-82,,-96,-76
-84,,-90,-75
-84,,-90,-75
-84,,-90,-75
-84,,-90,-75
-88,,,-77
-88,,,-77
-88,,,-77
-88,,,-77
-90,,-101,-79
-90,,-101,-79
-90,,-101,-79
-90,,-101,-79
-89,,-100,-79
-89,,-100,-79
-89,,-100,-79
-89,,-100,-79
-90,,-104,-79
-90,,-104,-79
-90,,-104,-79
-90,,-104,-79
-90,,-94,-80
-90,,-94,-80
-90,,-94,-80
-90,,-94,-80
-90,,,-79
-90,,,-79
-90,,,-79
-90,,,-79
-99,,,-105
-99,,,-105
-99,,,-105
-99,,,-105
-90,,-96,-79
-90,,-96,-79
-90,,-96,-79
-90,,-96,-79
-90,,-105,-79
-90,,-105,-79
-90,,-105,-79
-90,,-105,-79
-91,,-97,-81
-91,,-97,-81
-91,,-97,-81
-91,,-97,-81
-90,,,-79
-90,,,-79
-90,,,-79
-90,,,-79
-94,,-99,-100
-94,,-99,-100
-94,,-99,-100
-94,,-99,-100
-85,,-96,-77
-85,,-96,-77
-85,,-96,-77
-85,,-96,-77
-87,,-94,-77
-87,,-94,-77
-87,,-94,-77
-87,,-94,-77
-88,,-95,-88
-88,,-95,-88
-88,,-95,-88
-88,,-95,-88
-94,,-95,-78
-94,,-95,-78
-94,,-95,-78
-94,,-95,-78
-89,,-97,-75
-89,,-97,-75
-89,,-97,-75
-89,,-97,-75
-88,,,-76
-88,,,-76
-88,,,-76
-88,,,-76
-92,,-100,-72
-92,,-100,-72
-92,,-100,-72
-92,,-100,-72
-90,,-99,-70
-90,,-99,-70
-90,,-99,-70
-90,,-99,-70
-77,,-91,-74
-77,,-91,-74
-77,,-91,-74
-77,,-91,-74
-76,,-95,-73
-76,,-95,-73
-76,,-95,-73
-76,,-95,-73
-76,,-84,-74
-76,,-84,-74
-76,,-84,-74
-76,,-84,-74
-78,,-90,-74
-78,,-90,-74
-78,,-90,-74
-78,,-90,-74
-78,,-91,-79
-78,,-91,-79
-78,,-91,-79
-78,,-91,-79
-78,,-90,-73
-78,,-90,-73
-78,,-90,-73
-78,,-90,-73
-78,,-93,-76
-78,,-93,-76
-78,,-93,-76
-78,,-93,-76
