Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
-77,,-75,-78
-77,,-75,-78
-77,,-75,-78
-77,,-75,-78
-77,,-78,-87
-77,,-78,-87
-77,,-78,-87
-77,,-78,-87
-76,,-75,-76
-76,,-75,-76
-76,,-75,-76
-76,,-75,-76
-75,,-75,-75
-75,,-75,-75
-75,,-75,-75
-75,,-75,-75
-82,,-75,-79
-82,,-75,-79
-82,,-75,-79
-82,,-75,-79
-89,,-79,-81
-89,,-79,-81
-89,,-79,-81
-89,,-79,-81
-91,,-90,-77
-91,,-90,-77
-91,,-90,-77
-91,,-90,-77
-89,,-81,-77
-89,,-81,-77
-89,,-81,-77
-89,,-81,-77
-88,,-84,-77
-88,,-84,-77
-88,,-84,-77
-88,,-84,-77
-87,,-84,-78
-87,,-84,-78
-87,,-84,-78
-87,,-84,-78
-89,,-85,-77
-89,,-85,-77
-89,,-85,-77
-89,,-85,-77
-95,,-86,-78
-95,,-86,-78
-95,,-86,-78
-95,,-86,-78
-89,,-86,-78
-89,,-86,-78
-89,,-86,-78
-89,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,,-78
-90,,,-78
-90,,,-78
-90,,,-78
-90,,-87,-78
-90,,-87,-78
-90,,-87,-78
-90,,-87,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-89,,-88,-78
-89,,-88,-78
-89,,-88,-78
-89,,-88,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-88,-78
-90,,-88,-78
-90,,-88,-78
-90,,-88,-78
-90,,-87,-78
-90,,-87,-78
-90,,-87,-78
-90,,-87,-78
-90,,-88,-78
-90,,-88,-78
-90,,-88,-78
-90,,-88,-78
-90,,-87,-78
-90,,-87,-78
-90,,-87,-78
-90,,-87,-78
-90,,-87,-78
-90,,-87,-78
-90,,-87,-78
-90,,-87,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-90,,-86,-78
-93,,-88,-78
-93,,-88,-78
-93,,-88,-78
-93,,-88,-78
-90,,-87,-77
-90,,-87,-77
-90,,-87,-77
-90,,-87,-77
-93,,-85,-79
-93,,-85,-79
-93,,-85,-79
-93,,-85,-79
-89,,-88,-77
-89,,-88,-77
-89,,-88,-77
-89,,-88,-77
-85,,-91,-77
-85,,-91,-77
-85,,-91,-77
-85,,-91,-77
-93,,-88,-97
-93,,-88,-97
-93,,-88,-97
-93,,-88,-97
-85,,-92,-81
-85,,-92,-81
-85,,-92,-81
-85,,-92,-81
-89,,-89,-81
-89,,-89,-81
-89,,-89,-81
-89,,-89,-81
-87,,-92,-82
-87,,-92,-82
-87,,-92,-82
-87,,-92,-82
-92,,,-83
-92,,,-83
-92,,,-83
-92,,,-83
-92,,-81,-83
-92,,-81,-83
-92,,-81,-83
-92,,-81,-83
-93,,-81,-84
-93,,-81,-84
-93,,-81,-84
-93,,-81,-84
-94,,-80,-83
-94,,-80,-83
-94,,-80,-83
-94,,-80,-83
-93,,-80,-83
-93,,-80,-83
-93,,-80,-83
-93,,-80,-83
-93,,-81,-83
-93,,-81,-83
